"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","08/12/2021","00:00:01","enabled","19","automatic","509","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.340881","3.637","-1.239784197","6174.0","enabled","disabled","disabled","disabled","180260231","23079959","enabled","-58","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2471.0","3172.0","110,549MB","19,643MB","90,906MB","8","37.0","22639","20357","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:02","enabled","19","automatic","510","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.296936","3.637","-1.079956232","6174.0","enabled","disabled","disabled","disabled","180320908","23090714","enabled","-58","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2478.0","3165.0","110,549MB","19,643MB","90,906MB","8","37.0","22640","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:04","enabled","19","automatic","511","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.556641","3.637","-2.024503317","6174.0","enabled","disabled","disabled","disabled","180446282","23109336","enabled","-58","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2483.0","3160.0","110,549MB","19,643MB","90,906MB","8","37.0","22642","20357","1248.0","1248.0","1248.0","1248.0","1248.0","1248.0","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:07","enabled","19","automatic","512","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.354309","3.637","-1.288621833","6174.0","enabled","disabled","disabled","disabled","180575566","23133689","enabled","-58","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2485.0","3158.0","110,549MB","19,643MB","90,906MB","8","37.0","22645","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:09","enabled","19","automatic","513","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.34851","3.637","-1.26753087","6174.0","enabled","disabled","disabled","disabled","180722228","23153116","enabled","-58","325",,"390","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2486.0","3157.0","110,549MB","19,643MB","90,906MB","8","37.0","22647","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:11","enabled","19","automatic","514","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.465393","3.637","-1.692634341","6174.0","enabled","disabled","disabled","disabled","180834424","23170812","enabled","-58","325",,"390","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2464.0","3179.0","110,549MB","19,643MB","90,906MB","8","37.0","22649","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:13","enabled","19","automatic","515","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.700378","3.637","-2.547274786","6174.0","enabled","disabled","disabled","disabled","180947793","23192717","enabled","-58","325",,"390","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2465.0","3178.0","110,549MB","19,643MB","90,906MB","8","37.0","22651","20357","1612.8","1612.8","1612.8","1612.8","1612.8","1612.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:15","enabled","19","automatic","516","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.601501","3.637","-2.187659137","6174.0","enabled","disabled","disabled","disabled","181079269","23219333","enabled","-57","390",,"433","390","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2468.0","3175.0","110,549MB","19,643MB","90,906MB","8","37.0","22653","20357","1708.8","1708.8","1708.8","1708.8","1708.8","1708.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:17","enabled","19","automatic","517","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.375366","3.637","-1.365206142","6174.0","enabled","disabled","disabled","disabled","181199493","23238744","enabled","-57","390",,"433","390","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2471.0","3172.0","110,549MB","19,643MB","90,906MB","8","37.0","22655","20357","1248.0","1248.0","1248.0","1248.0","1497.6","1497.6","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:00:19","enabled","19","automatic","518","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.0","-0.88501","3.637","-3.21878137","6174.0","enabled","disabled","disabled","disabled","181347267","23263503","enabled","-57","390",,"433","390","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2458.0","3185.0","110,549MB","19,643MB","90,906MB","8","37.0","22658","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
